prefix	lemma	abs_freq	abs_freq0	abs_freq1	abs_freq2	freq	freq0	freq1	freq2
в[зс]	взмыливать	318	77	166	75	1.289	1.066	1.784	0.921
в[зс]	взмыть	583	45	257	281	2.364	0.623	2.763	3.452
в[зс]	взносить	170	122	37	11	0.689	1.69	0.398	0.135
в[зс]	взнуздывать	227	73	115	39	0.92	1.011	1.236	0.479
в[зс]	взопреть	103	23	51	29	0.418	0.319	0.548	0.356
в[зс]	взрастать	174	83	41	50	0.706	1.15	0.441	0.614
в[зс]	взращивать	530	66	210	254	2.149	0.914	2.257	3.121
в[зс]	взреветь	844	64	407	373	3.422	0.886	4.375	4.583
в[зс]	взрезывать	207	50	92	65	0.839	0.693	0.989	0.799
в[зс]	взрывать	4383	768	1978	1637	17.772	10.637	21.262	20.112
в[зс]	взрываться	3737	225	1796	1716	15.153	3.116	19.305	21.083
в[зс]	взрыть	195	91	79	25	0.791	1.26	0.849	0.307
в[зс]	взрыхлять	139	14	80	45	0.564	0.194	0.86	0.553
в[зс]	взъедаться	153	47	63	43	0.62	0.651	0.677	0.528
в[зс]	взъерепениться	58	13	21	24	0.235	0.18	0.226	0.295
в[зс]	взъерошивать	991	242	493	256	4.018	3.352	5.299	3.145
в[зс]	взъерошиваться	72	13	44	15	0.292	0.18	0.473	0.184
в[зс]	взыграть	364	78	170	116	1.476	1.08	1.827	1.425
в[зс]	взыскивать	2229	1341	444	444	9.038	18.573	4.773	5.455
в[зс]	взыскиваться	254	157	38	59	1.03	2.175	0.408	0.725
в[зс]	взысковать	100	28	32	40	0.405	0.388	0.344	0.491
в[зс]	взять	152313	53472	59410	39431	617.592	740.612	638.601	484.454
в[зс]	взяться	17522	4703	7246	5573	71.047	65.139	77.888	68.47
в[зс]	вскапывать	214	39	99	76	0.868	0.54	1.064	0.934
в[зс]	вскарабкиваться	841	175	412	254	3.41	2.424	4.429	3.121
в[зс]	вскармливать	588	238	197	153	2.384	3.296	2.118	1.88
в[зс]	вскидывать	3810	822	2002	986	15.449	11.385	21.52	12.114
в[зс]	вскидываться	972	170	458	344	3.941	2.355	4.923	4.226
в[зс]	вскипать	1293	303	637	353	5.243	4.197	6.847	4.337
в[зс]	вскипятить	373	59	175	139	1.512	0.817	1.881	1.708
в[зс]	всклокочивать	725	211	338	176	2.94	2.922	3.633	2.162
в[зс]	всколыхивать	455	74	247	134	1.845	1.025	2.655	1.646
в[зс]	всколыхиваться	366	106	175	85	1.484	1.468	1.881	1.044
в[зс]	вскрикивать	6881	3237	2486	1158	27.901	44.834	26.722	14.227
в[зс]	вскричать	6112	4465	1170	477	24.783	61.842	12.576	5.86
в[зс]	вскружить	352	199	94	59	1.427	2.756	1.01	0.725
в[зс]	вскрывать	4281	628	2239	1414	17.358	8.698	24.067	17.373
в[зс]	вскрываться	794	207	379	208	3.219	2.867	4.074	2.556
в[зс]	вспаивать	113	64	38	11	0.458	0.886	0.408	0.135
в[зс]	вспархивать	531	140	216	175	2.153	1.939	2.322	2.15
в[зс]	вспарывать	428	26	197	205	1.735	0.36	2.118	2.519
в[зс]	вспахивать	834	255	457	122	3.382	3.532	4.912	1.499
в[зс]	вспенивать	242	49	135	58	0.981	0.679	1.451	0.713
в[зс]	вспениваться	73	14	35	24	0.296	0.194	0.376	0.295
в[зс]	всплакнуть	413	116	185	112	1.675	1.607	1.989	1.376
в[зс]	всплескивать	2196	757	958	481	8.904	10.485	10.298	5.91
в[зс]	всплескиваться	94	16	62	16	0.381	0.222	0.666	0.197
в[зс]	всплывать	3355	475	1418	1462	13.604	6.579	15.242	17.962
в[зс]	всполошить	173	51	86	36	0.701	0.706	0.924	0.442
в[зс]	всполошиться	708	201	329	178	2.871	2.784	3.536	2.187
в[зс]	вспоминать	29207	5259	13418	10530	118.427	72.84	144.231	129.373
в[зс]	вспоминаться	6940	1543	3432	1965	28.14	21.371	36.891	24.142
в[зс]	вспомнить	49001	11124	21044	16833	198.687	154.073	226.203	206.812
в[зс]	вспомниться	703	163	347	193	2.85	2.258	3.73	2.371
в[зс]	вспомянуть	193	112	65	16	0.783	1.551	0.699	0.197
в[зс]	вспотеть	1349	267	697	385	5.47	3.698	7.492	4.73
в[зс]	вспрыгивать	453	168	180	105	1.837	2.327	1.935	1.29
в[зс]	вспрыскивать	179	100	72	7	0.726	1.385	0.774	0.086
в[зс]	вспугивать	487	77	271	139	1.975	1.066	2.913	1.708
в[зс]	вспухать	558	101	298	159	2.263	1.399	3.203	1.953
в[зс]	вспучивать	123	12	54	57	0.499	0.166	0.58	0.7
в[зс]	вспучиваться	130	6	87	37	0.527	0.083	0.935	0.455
в[зс]	вспылить	712	255	287	170	2.887	3.532	3.085	2.089
в[зс]	вспыхивать	12614	4275	5816	2523	51.147	59.211	62.516	30.998
в[зс]	встопорщиваться	47	5	22	20	0.191	0.069	0.236	0.246
в[зс]	встревожить	3210	1410	1279	521	13.016	19.529	13.748	6.401
в[зс]	встревожиться	942	331	413	198	3.82	4.585	4.439	2.433
в[зс]	встрепенуться	2291	924	798	569	9.289	12.798	8.578	6.991
в[зс]	встрепывать	130	47	59	24	0.527	0.651	0.634	0.295
в[зс]	встрестись	189	124	60	5	0.766	1.717	0.645	0.061
в[зс]	встряхивать	2348	683	1103	562	9.521	9.46	11.856	6.905
в[зс]	встряхиваться	810	252	356	202	3.284	3.49	3.827	2.482
в[зс]	всхлипывать	3294	812	1571	911	13.356	11.247	16.887	11.193
в[зс]	всходить	1219	577	510	132	4.943	7.992	5.482	1.622
в[зс]	всхрапнуть	195	53	97	45	0.791	0.734	1.043	0.553
в[зс]	всхрапывать	244	40	158	46	0.989	0.554	1.698	0.565
во?	вбегать	3646	1532	1568	546	14.784	21.219	16.854	6.708
во?	вбивать	1695	363	772	560	6.873	5.028	8.298	6.88
во?	вбиваться	72	8	36	28	0.292	0.111	0.387	0.344
во?	вбирать	1463	155	739	569	5.932	2.147	7.944	6.991
во?	вбрасывать	182	18	42	122	0.738	0.249	0.451	1.499
во?	вваливать	60	24	26	10	0.243	0.332	0.279	0.123
во?	вваливаться	1873	435	950	488	7.595	6.025	10.212	5.996
во?	ввергать	733	272	239	222	2.972	3.767	2.569	2.728
во?	ввергаться	58	27	25	6	0.235	0.374	0.269	0.074
во?	ввертывать	502	188	196	118	2.035	2.604	2.107	1.45
во?	вверять	2341	1349	544	448	9.492	18.684	5.847	5.504
во?	вверяться	255	177	65	13	1.034	2.452	0.699	0.16
во?	ввестись	57	38	5	14	0.231	0.526	0.054	0.172
во?	ввинчивать	252	20	143	89	1.022	0.277	1.537	1.093
во?	ввинчиваться	218	5	105	108	0.884	0.069	1.129	1.327
во?	вводить	21692	5985	7067	8640	87.956	82.895	75.963	106.152
во?	вводиться	1721	280	542	899	6.978	3.878	5.826	11.045
во?	ввозить	783	156	157	470	3.175	2.161	1.688	5.774
во?	ввозиться	130	29	39	62	0.527	0.402	0.419	0.762
во?	ввязывать	25	8	8	9	0.101	0.111	0.086	0.111
во?	ввязываться	956	132	411	413	3.876	1.828	4.418	5.074
во?	вгибать	67	21	28	18	0.272	0.291	0.301	0.221
во?	вглядываться	6285	1614	3003	1668	25.484	22.355	32.279	20.493
во?	вгонять	873	234	359	280	3.54	3.241	3.859	3.44
во?	вгрызаться	350	18	180	152	1.419	0.249	1.935	1.867
во?	вдаваться	1478	611	417	450	5.993	8.463	4.482	5.529
во?	вдавливать	858	121	413	324	3.479	1.676	4.439	3.981
во?	вдавливаться	233	21	140	72	0.945	0.291	1.505	0.885
во?	вдалбливать	253	30	113	110	1.026	0.416	1.215	1.351
во?	вдарить	403	73	235	95	1.634	1.011	2.526	1.167
во?	вдариться	52	13	32	7	0.211	0.18	0.344	0.086
во?	вдвигать	211	68	106	37	0.856	0.942	1.139	0.455
во?	вдвигаться	150	42	67	41	0.608	0.582	0.72	0.504
во?	вдевать	362	94	156	112	1.468	1.302	1.677	1.376
во?	вделывать	507	196	235	76	2.056	2.715	2.526	0.934
во?	вдувать	132	42	49	41	0.535	0.582	0.527	0.504
во?	вдумываться	1592	414	683	495	6.455	5.734	7.342	6.082
во?	вдыхать	3240	667	1242	1331	13.137	9.238	13.35	16.353
во?	вживаться	377	15	182	180	1.529	0.208	1.956	2.211
во?	взывать	2379	794	976	609	9.646	10.997	10.491	7.482
во?	вкалывать	751	6	296	449	3.045	0.083	3.182	5.516
во?	вкапывать	41	8	14	19	0.166	0.111	0.15	0.233
во?	вкапываться	32	9	12	11	0.13	0.125	0.129	0.135
во?	вкатить	271	35	126	110	1.099	0.485	1.354	1.351
во?	вкатиться	167	44	78	45	0.677	0.609	0.838	0.553
во?	вкатывать	88	11	50	27	0.357	0.152	0.537	0.332
во?	вкатываться	90	15	53	22	0.365	0.208	0.57	0.27
во?	вкладывать	8161	1335	2796	4030	33.091	18.49	30.054	49.513
во?	вкладываться	473	51	135	287	1.918	0.706	1.451	3.526
во?	вклеивать	248	55	95	98	1.006	0.762	1.021	1.204
во?	вклиниваться	482	9	243	230	1.954	0.125	2.612	2.826
во?	включать	19633	793	5937	12903	79.607	10.983	63.817	158.528
во?	включаться	3461	65	1362	2034	14.034	0.9	14.64	24.99
во?	вколачивать	312	84	140	88	1.265	1.163	1.505	1.081
во?	вколачиваться	15	5	5	5	0.061	0.069	0.054	0.061
во?	вкопать	994	348	354	292	4.03	4.82	3.805	3.588
во?	вкоренять	128	108	15	5	0.519	1.496	0.161	0.061
во?	вкрадываться	540	357	116	67	2.19	4.945	1.247	0.823
во?	вкрапливать	229	30	149	50	0.929	0.416	1.602	0.614
во?	влагать	275	193	69	13	1.115	2.673	0.742	0.16
во?	вламываться	641	189	213	239	2.599	2.618	2.29	2.936
во?	влезать	5324	1132	2430	1762	21.588	15.679	26.12	21.648
во?	влеплять	523	100	212	211	2.121	1.385	2.279	2.592
во?	влепляться	65	13	34	18	0.264	0.18	0.365	0.221
во?	влетать	3049	724	1397	928	12.363	10.028	15.016	11.402
во?	вливать	1949	656	695	598	7.903	9.086	7.471	7.347
во?	вливаться	1913	388	927	598	7.757	5.374	9.964	7.347
во?	влипать	684	29	356	299	2.773	0.402	3.827	3.674
во?	вложиться	109	5	22	82	0.442	0.069	0.236	1.007
во?	влюблять	2114	876	699	539	8.572	12.133	7.514	6.622
во?	влюбляться	5800	1973	1797	2030	23.518	27.327	19.316	24.941
во?	вляпываться	318	10	81	227	1.289	0.139	0.871	2.789
